giorno,categoria,corse_osservate,effettuate,cancellate,soppresse,parzialmente_cancellate,info_mancante,in_orario,in_ritardo,in_anticipo,oltre_5,oltre_10,oltre_15,oltre_30,oltre_60,minuti_ritardo_tot,minuti_anticipo_tot,minuti_netti_tot,ritardo_medio,ritardo_mediano,p90,p95
2026-01-14,FA,18,18.0,0.0,0.0,0.0,0,10,4,4,4,3,0,0,0,59,26,33,1.8333333333333333,2.0,11.0,11.15
2026-01-14,FB,8,8.0,0.0,0.0,0.0,0,4,2,2,2,1,1,1,0,59,2,57,7.125,2.0,18.099999999999994,31.04999999999998
2026-01-14,FR,229,229.0,0.0,0.0,0.0,0,71,84,74,84,42,24,7,1,1290,316,974,4.253275109170306,3.0,15.0,21.599999999999994
2026-01-14,IC,91,91.0,0.0,0.0,0.0,0,31,17,43,17,11,6,2,0,307,236,71,0.7802197802197802,0.0,10.0,22.5
2026-01-14,ICN,4,4.0,0.0,0.0,0.0,0,0,0,4,0,0,0,0,0,0,25,-25,-6.25,-6.5,-5.3,-5.15
2026-01-14,MET,227,227.0,0.0,0.0,0.0,0,103,16,108,16,1,1,1,0,271,293,-22,-0.0969162995594713,0.0,4.0,5.0
2026-01-14,REG,8655,8655.0,0.0,0.0,0.0,0,3745,1364,3546,1364,459,239,78,6,21197,9386,11811,1.364644714038128,0.0,6.0,10.0
2026-01-27,FR,3,3.0,0.0,0.0,0.0,0,0,0,3,0,0,0,0,0,0,23,-23,-7.666666666666667,-7.0,-5.4,-5.2
2026-01-27,IC,13,13.0,0.0,0.0,0.0,0,4,4,5,4,4,4,1,1,133,29,104,8.0,0.0,23.40000000000001,44.59999999999993
2026-01-27,ICN,12,12.0,0.0,0.0,0.0,0,3,1,8,1,0,0,0,0,17,39,-22,-1.8333333333333333,-1.0,4.0,4.899999999999999
2026-01-27,REG,54,54.0,0.0,0.0,0.0,0,18,5,31,5,1,1,0,0,72,93,-21,-0.3888888888888889,-1.0,3.700000000000003,7.0
2026-01-28,EC,48,48.0,0.0,0.0,0.0,0,14,19,15,19,8,6,1,0,293,46,247,5.145833333333333,2.0,19.10000000000003,24.65
2026-01-28,ECFR,2,2.0,0.0,0.0,0.0,0,0,1,1,1,1,1,0,0,22,9,13,6.5,6.5,18.9,20.45
2026-01-28,EN,2,2.0,0.0,0.0,0.0,0,0,1,1,1,1,1,1,0,37,7,30,15.0,15.0,32.6,34.8
2026-01-28,FA,18,18.0,0.0,0.0,0.0,0,5,7,6,7,2,2,1,0,103,36,67,3.7222222222222223,2.0,10.700000000000006,21.799999999999955
2026-01-28,FB,8,8.0,0.0,0.0,0.0,0,3,1,4,1,1,0,0,0,15,11,4,0.5,-0.5,5.099999999999999,7.549999999999996
2026-01-28,FR,236,236.0,0.0,0.0,0.0,0,67,122,47,122,78,52,10,2,2150,227,1923,8.148305084745763,5.0,23.0,27.25
2026-01-28,IC,106,106.0,0.0,0.0,0.0,0,30,48,28,48,26,24,15,3,1159,121,1038,9.79245283018868,3.0,33.0,41.0
2026-01-28,ICN,15,15.0,0.0,0.0,0.0,0,3,7,5,7,3,2,1,0,104,57,47,3.1333333333333333,4.0,15.4,26.29999999999997
2026-01-28,MET,226,226.0,0.0,0.0,0.0,0,105,10,111,10,4,2,1,0,283,251,32,0.1415929203539823,0.0,3.0,4.0
2026-01-28,REG,8693,8693.0,0.0,0.0,0.0,0,3881,1778,3034,1778,647,325,88,9,26267,7831,18436,2.120786839986196,1.0,8.0,12.0
2026-01-29,EC,50,50.0,0.0,0.0,0.0,0,14,17,19,17,11,7,3,0,305,52,253,5.06,2.0,15.1,26.799999999999955
2026-01-29,ECFR,2,2.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,3,10,-7,-3.5,-3.5,1.7000000000000002,2.35
2026-01-29,EN,1,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2026-01-29,FA,18,18.0,0.0,0.0,0.0,0,7,6,5,6,5,3,0,0,105,32,73,4.055555555555555,1.0,18.9,21.45
2026-01-29,FB,8,8.0,0.0,0.0,0.0,0,2,5,1,5,2,2,0,0,52,2,50,6.25,5.0,15.3,15.65
2026-01-29,FR,229,229.0,0.0,0.0,0.0,0,67,108,54,108,67,49,31,12,2860,209,2651,11.576419213973798,4.0,35.20000000000002,59.19999999999999
2026-01-29,IC,93,93.0,0.0,0.0,0.0,0,31,30,32,30,14,9,3,2,539,144,395,4.247311827956989,1.0,13.799999999999995,18.799999999999983
2026-01-29,ICN,1,1.0,0.0,0.0,0.0,0,0,1,0,1,1,1,1,1,112,0,112,112.0,112.0,112.0,112.0
2026-01-29,MET,232,232.0,0.0,0.0,0.0,0,96,21,115,21,8,2,0,0,320,252,68,0.293103448275862,0.0,4.0,6.449999999999989
2026-01-29,REG,8576,8576.0,0.0,0.0,0.0,0,3721,1581,3274,1581,711,452,168,40,29015,8526,20489,2.3891091417910446,1.0,8.0,15.0
2026-02-03,REG,1,1.0,0.0,0.0,0.0,0,0,1,0,1,1,1,1,0,30,0,30,30.0,30.0,30.0,30.0
2026-02-04,REG,1,1.0,0.0,0.0,0.0,0,0,1,0,1,1,1,0,0,27,0,27,27.0,27.0,27.0,27.0
2026-02-12,REG,1,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,1,1.0,1.0,1.0,1.0
2026-02-13,EXP,1,1.0,0.0,0.0,0.0,0,0,1,0,1,1,0,0,0,11,0,11,11.0,11.0,11.0,11.0
2026-02-13,FR,2,2.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0,2,0,2,1.0,1.0,1.8,1.9
2026-02-13,IC,12,12.0,0.0,0.0,0.0,0,1,6,5,6,5,4,2,0,155,27,128,10.666666666666666,3.5,31.700000000000003,40.09999999999999
2026-02-13,ICN,14,14.0,0.0,0.0,0.0,0,1,5,8,5,3,1,1,0,86,44,42,3.0,-2.5,13.400000000000002,24.49999999999999
2026-02-13,REG,92,92.0,0.0,0.0,0.0,0,38,11,43,11,2,1,0,0,162,111,51,0.5543478260869565,0.0,5.0,8.0
2026-02-14,EC,54,54.0,0.0,0.0,0.0,0,12,20,22,20,12,8,2,0,313,86,227,4.203703703703703,1.0,18.0,26.049999999999983
2026-02-14,ECFR,2,2.0,0.0,0.0,0.0,0,0,2,0,2,2,0,0,0,26,0,26,13.0,13.0,13.8,13.9
2026-02-14,EN,1,1.0,0.0,0.0,0.0,0,0,1,0,1,1,1,1,0,36,0,36,36.0,36.0,36.0,36.0
2026-02-14,EXP,1,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,12,-12,-12.0,-12.0,-12.0,-12.0
2026-02-14,FA,11,11.0,0.0,0.0,0.0,0,2,8,1,8,8,7,7,5,560,5,555,50.45454545454545,54.0,103.0,112.5
2026-02-14,FB,7,7.0,0.0,0.0,0.0,0,2,5,0,5,5,4,3,3,328,0,328,46.85714285714285,20.0,108.4,110.2
2026-02-14,FR,188,188.0,0.0,0.0,0.0,0,32,138,18,138,117,106,91,69,9738,83,9655,51.3563829787234,25.0,128.10000000000008,166.60000000000002
2026-02-14,IC,94,94.0,0.0,0.0,0.0,0,29,36,29,36,25,16,8,3,829,146,683,7.26595744680851,2.5,21.700000000000003,45.74999999999997
2026-02-14,ICN,4,4.0,0.0,0.0,0.0,0,2,1,1,1,1,1,0,0,28,6,22,5.5,3.0,16.300000000000004,19.14999999999999
2026-02-14,MET,209,209.0,0.0,0.0,0.0,0,102,7,100,7,1,1,0,0,187,250,-63,-0.3014354066985646,0.0,3.0,4.0
2026-02-14,NCL,2,2.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,2,42,-40,-20.0,-20.0,-2.3999999999999986,-0.2000000000000019
2026-02-14,REG,7369,7369.0,0.0,0.0,0.0,0,3311,1035,3023,1035,358,232,80,18,18342,7760,10582,1.4360157416203012,0.0,6.0,9.0
2026-02-14,,2,2.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,2,2,0,0.0,0.0,1.6,1.7999999999999998
